nombre,precio_alquiler,precio_venta,superficie_venta,codi_districte,nom_districte,codi_barri,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars,año,num_mes,trimestre,dia_semana,precio_alquiler_lag_1,precio_alquiler_lag_3,precio_alquiler_lag_6,precio_alquiler_lag_12
la sagrera,10.537445745148666,2169.42857142857,804.375,9,6,61,1.0,2,2,2,2016,8,3,0,10.448162702245,10.175120900748334,10.438626245907367,10.114099999999999
la sagrera,10.626728788052334,2126.11764705882,1050.5,9,6,61,1.0,2,2,2,2016,9,3,3,10.537445745148666,10.311641801496666,10.238613122953684,10.3461
la sagrera,10.716011830956,2058.92307692308,1296.625,9,6,61,1.0,2,2,2,2016,10,4,5,10.626728788052334,10.448162702245,10.0386,10.5781
la sagrera,10.583163044126419,2383.52380952381,1542.75,9,6,61,1.0,2,2,2,2016,11,4,1,10.716011830956,10.537445745148666,10.175120900748334,10.59827978962035
la sagrera,10.450314257296839,2551.09090909091,1788.875,9,6,61,1.0,2,2,2,2016,12,4,3,10.583163044126419,10.626728788052334,10.311641801496666,10.6184595792407
la sagrera,10.317465470467257,2442.043719211825,2035.0,9,6,61,1.0,2,2,2,2017,1,1,6,10.450314257296839,10.716011830956,10.448162702245,10.63863936886105
la sagrera,10.38868265413607,2337.38888888889,4837.2,9,6,61,1.0,2,2,2,2017,2,1,2,10.317465470467257,10.583163044126419,10.537445745148666,10.438626245907367
la sagrera,10.459899837804885,2517.75,7639.4,9,6,61,1.0,2,2,2,2017,3,1,2,10.38868265413607,10.450314257296839,10.626728788052334,10.238613122953684
la sagrera,10.5311170214737,2447.1875,10441.599999999999,9,6,61,1.0,2,2,2,2017,4,2,5,10.459899837804885,10.317465470467257,10.716011830956,10.0386
la sagrera,10.749654417983466,2800.0,13243.8,9,6,61,1.0,2,2,2,2017,5,2,0,10.5311170214737,10.38868265413607,10.583163044126419,10.175120900748334
la sagrera,10.968191814493233,2208.65,16046.0,9,6,61,1.0,2,2,2,2017,6,2,3,10.749654417983466,10.459899837804885,10.450314257296839,10.311641801496666
la sagrera,11.186729211003,2524.35294117647,12388.0,9,6,61,1.0,2,2,2,2017,7,3,5,10.968191814493233,10.5311170214737,10.317465470467257,10.448162702245
la sagrera,11.3536419620384,2743.42857142857,8730.0,9,6,61,1.0,2,2,2,2017,8,3,1,11.186729211003,10.749654417983466,10.38868265413607,10.537445745148666
la sagrera,11.5205547130738,2621.94117647059,5072.0,9,6,61,1.0,2,2,2,2017,9,3,4,11.3536419620384,10.968191814493233,10.459899837804885,10.626728788052334
la sagrera,11.6874674641092,2418.82352941177,1414.0,9,6,61,1.0,2,2,2,2017,10,4,6,11.5205547130738,11.186729211003,10.5311170214737,10.716011830956
la sagrera,11.658287994219334,2391.69230769231,1345.0,9,6,61,1.0,2,2,2,2017,11,4,2,11.6874674641092,11.3536419620384,10.749654417983466,10.583163044126419
la sagrera,11.629108524329467,2871.15625,1150.5,9,6,61,1.0,2,2,2,2017,12,4,4,11.658287994219334,11.5205547130738,10.968191814493233,10.450314257296839
la sagrera,11.5999290544396,2655.63186813187,956.0,9,6,61,1.0,2,2,2,2018,1,1,0,11.629108524329467,11.6874674641092,11.186729211003,10.317465470467257
la sagrera,11.759247040892934,2165.15789473684,761.5,9,6,61,1.0,2,2,2,2018,2,1,3,11.5999290544396,11.658287994219334,11.3536419620384,10.38868265413607
la sagrera,11.918565027346267,2993.96153846154,567.0,9,6,61,1.0,2,2,2,2018,3,1,3,11.759247040892934,11.629108524329467,11.5205547130738,10.459899837804885
la sagrera,12.0778830137996,2825.82352941177,1068.0,9,6,61,1.0,2,2,2,2018,4,2,6,11.918565027346267,11.5999290544396,11.6874674641092,10.5311170214737
la sagrera,12.0337672881143,3072.05882352941,1569.0,9,6,61,1.0,2,2,2,2018,5,2,1,12.0778830137996,11.759247040892934,11.658287994219334,10.749654417983466
la sagrera,11.989651562429,3117.375,1767.0,9,6,61,1.0,2,2,2,2018,6,2,4,12.0337672881143,11.918565027346267,11.629108524329467,10.968191814493233
la sagrera,11.9455358367437,2620.45,1965.0,9,6,61,1.0,2,2,2,2018,7,3,6,11.989651562429,12.0778830137996,11.5999290544396,11.186729211003
la sagrera,12.041615806976333,3203.8,2163.0,9,6,61,1.0,2,2,2,2018,8,3,2,11.9455358367437,12.0337672881143,11.759247040892934,11.3536419620384
la sagrera,12.137695777208966,2835.8,1641.0,9,6,61,1.0,2,2,2,2018,9,3,5,12.041615806976333,11.989651562429,11.918565027346267,11.5205547130738
la sagrera,12.2337757474416,2888.85,1119.0,9,6,61,1.0,2,2,2,2018,10,4,0,12.137695777208966,11.9455358367437,12.0778830137996,11.6874674641092
la sagrera,12.3245870880764,2698.0,1016.3333333333334,9,6,61,1.0,2,2,2,2018,11,4,3,12.2337757474416,12.041615806976333,12.0337672881143,11.658287994219334
la sagrera,12.4153984287112,2776.55555555556,913.6666666666666,9,6,61,1.0,2,2,2,2018,12,4,5,12.3245870880764,12.137695777208966,11.989651562429,11.629108524329467
la sagrera,12.506209769346,3122.06105610561,811.0,9,6,61,1.0,2,2,2,2019,1,1,1,12.4153984287112,12.2337757474416,11.9455358367437,11.5999290544396
la sagrera,12.553283235429934,2982.73333333333,761.2,9,6,61,1.0,2,2,2,2019,2,1,4,12.506209769346,12.3245870880764,12.041615806976333,11.759247040892934
la sagrera,12.600356701513867,3530.4,711.4,9,6,61,1.0,2,2,2,2019,3,1,4,12.553283235429934,12.4153984287112,12.137695777208966,11.918565027346267
la sagrera,12.6474301675978,3133.64285714286,661.6,9,6,61,1.0,2,2,2,2019,4,2,0,12.600356701513867,12.506209769346,12.2337757474416,12.0778830137996
la sagrera,12.8290053110033,2794.21428571429,611.8,9,6,61,1.0,2,2,2,2019,5,2,2,12.6474301675978,12.553283235429934,12.3245870880764,12.0337672881143
la sagrera,13.010580454408801,2925.91666666667,562.0,9,6,61,1.0,2,2,2,2019,6,2,5,12.8290053110033,12.600356701513867,12.4153984287112,11.989651562429
la sagrera,13.1921555978143,3536.05882352941,1365.0,9,6,61,1.0,2,2,2,2019,7,3,0,13.010580454408801,12.6474301675978,12.506209769346,11.9455358367437
la sagrera,12.9533276149375,2672.2,2168.0,9,6,61,1.0,2,2,2,2019,8,3,3,13.1921555978143,12.8290053110033,12.553283235429934,12.041615806976333
la sagrera,12.7144996320607,3358.71428571429,2191.625,9,6,61,1.0,2,2,2,2019,9,3,6,12.9533276149375,13.010580454408801,12.600356701513867,12.137695777208966
la sagrera,12.4756716491839,2687.5,2215.25,9,6,61,1.0,2,2,2,2019,10,4,1,12.7144996320607,13.1921555978143,12.6474301675978,12.2337757474416
la sagrera,12.494323344661984,2280.68421052632,2238.875,9,6,61,1.0,2,2,2,2019,11,4,4,12.4756716491839,12.9533276149375,12.8290053110033,12.3245870880764
la sagrera,12.512975040140066,2677.80952380952,2262.5,9,6,61,1.0,2,2,2,2019,12,4,6,12.494323344661984,12.7144996320607,13.010580454408801,12.4153984287112
la sagrera,12.53162673561815,2824.233974358975,2286.125,9,6,61,1.0,2,2,2,2020,1,1,2,12.512975040140066,12.4756716491839,13.1921555978143,12.506209769346
la sagrera,12.3958936089321,2918.1052631579,2309.75,9,6,61,1.0,2,2,2,2020,2,1,5,12.53162673561815,12.494323344661984,12.9533276149375,12.553283235429934
la sagrera,12.26016048224605,2819.77777777778,2333.375,9,6,61,1.0,2,2,2,2020,3,1,6,12.3958936089321,12.512975040140066,12.7144996320607,12.600356701513867
la sagrera,12.12442735556,3194.66666666667,2357.0,9,6,61,1.0,2,2,2,2020,4,2,2,12.26016048224605,12.53162673561815,12.4756716491839,12.6474301675978
la sagrera,12.222011975194867,2830.33333333333,1786.0,9,6,61,1.0,2,2,2,2020,5,2,4,12.12442735556,12.3958936089321,12.494323344661984,12.8290053110033
la sagrera,12.319596594829733,3061.46153846154,1215.0,9,6,61,1.0,2,2,2,2020,6,2,0,12.222011975194867,12.26016048224605,12.512975040140066,13.010580454408801
